"customer_id";"customer_name";"gender";"birth_year";"registration_date";"email";"phone";"country";"city";"zip_code";"registration_channel";"loyalty_tier";"preferred_category";"avg_order_value_segment";"last_login_date";"total_orders";"total_spent"
39;"User_39";"Female";1981;"2021-02-13";"user39@example.com";"19205935";"USA";"New York";"58284";"Social Media";"Bronze";"Books";"Low";"2024-10-15";9;12496.65
40;"User_40";"Male";1973;"2023-10-11";"user40@example.com";"14022164";"USA";"Toronto";"70238";"Mobile App";"Bronze";"Books";"High";"2024-12-17";9;5488.77
41;"User_41";"Male";1982;"2021-11-10";"user41@example.com";"18762157";"USA";"Toronto";"57184";"Mobile App";"Bronze";"Clothing";"Medium";"2024-11-20";13;10788.29
42;"User_42";"Female";2003;"2023-05-01";"user42@example.com";"14987653";"Australia";"London";"70623";"Referral";"Gold";"Sports";"Low";"2024-12-08";15;9482.02
43;"User_43";"Male";1990;"2023-07-18";"user43@example.com";"19668649";"USA";"Toronto";"31305";"Mobile App";"Silver";"Electronics";"Low";"2024-05-25";8;5140.63
44;"User_44";"Female";1991;"2020-04-23";"user44@example.com";"18119441";"Canada";"London";"50021";"Social Media";"Gold";"Sports";"Low";"2024-09-23";12;10949.64
45;"User_45";"Male";1973;"2022-06-15";"user45@example.com";"18988983";"USA";"New York";"96759";"Web";"Silver";"Home";"Medium";"2024-12-24";9;6518.67
46;"User_46";"Female";1987;"2022-12-14";"user46@example.com";"18994022";"USA";"Sydney";"53184";"Referral";"Bronze";"Home";"Low";"2024-08-15";6;5760.67
47;"User_47";"Male";1974;"2020-03-05";"user47@example.com";"17827315";"UK";"New York";"28942";"Web";"Bronze";"Sports";"Medium";"2024-10-29";20;12546.39
48;"User_48";"Female";1988;"2021-11-14";"user48@example.com";"13166413";"Canada";"London";"87418";"Mobile App";"Gold";"Books";"Medium";"2024-12-23";7;7681.2
49;"User_49";"Female";1971;"2023-07-19";"user49@example.com";"16934569";"Australia";"Sydney";"34714";"Mobile App";"Bronze";"Home";"High";"2024-11-03";8;4889.83
50;"User_50";"Male";1981;"2023-10-17";"user50@example.com";"15185329";"USA";"Chicago";"61672";"Web";"Bronze";"Clothing";"Low";"2024-08-26";9;10270.18
51;"User_51";"Female";1986;"2020-05-25";"user51@example.com";"16892925";"USA";"Sydney";"96557";"Web";"Bronze";"Clothing";"High";"2024-12-13";13;9553.43
52;"User_52";"Female";1979;"2022-07-31";"user52@example.com";"13514395";"USA";"Toronto";"53201";"Web";"Bronze";"Clothing";"Low";"2024-12-04";13;7648.25
53;"User_53";"Female";2003;"2023-05-17";"user53@example.com";"17406231";"USA";"New York";"73296";"Web";"Silver";"Sports";"Medium";"2024-12-24";7;5305.33
54;"User_54";"Female";1975;"2023-08-02";"user54@example.com";"19959039";"USA";"Toronto";"62979";"Mobile App";"Bronze";"Home";"Low";"2024-12-14";15;10201.85
55;"User_55";"Female";1977;"2022-10-30";"user55@example.com";"13062586";"UK";"Sydney";"98549";"Referral";"Silver";"Books";"Low";"2024-12-19";14;7747.11
56;"User_56";"Female";1980;"2022-01-08";"user56@example.com";"15448615";"USA";"Chicago";"93257";"Mobile App";"Bronze";"Clothing";"Low";"2024-11-16";10;7489.98
57;"User_57";"Male";1981;"2020-07-04";"user57@example.com";"16649089";"UK";"Toronto";"87817";"Mobile App";"Silver";"Books";"Low";"2024-10-17";8;4876.81
58;"User_58";"Male";1978;"2023-03-03";"user58@example.com";"19972310";"USA";"Chicago";"24008";"Web";"Gold";"Clothing";"Low";"2024-08-16";8;6553.34
59;"User_59";"Male";1971;"2022-04-14";"user59@example.com";"19031477";"Canada";"Los Angeles";"70196";"Web";"Silver";"Sports";"High";"2024-08-30";10;8579.25
60;"User_60";"Male";1977;"2022-03-19";"user60@example.com";"19309906";"USA";"Chicago";"12294";"Mobile App";"Bronze";"Clothing";"Low";"2024-06-20";9;9184.33
61;"User_61";"Male";1980;"2020-06-19";"user61@example.com";"19523162";"USA";"New York";"29061";"Referral";"Bronze";"Sports";"Low";"2024-11-30";6;4244.51
62;"User_62";"Male";1979;"2020-07-31";"user62@example.com";"18088319";"UK";"Sydney";"65733";"Social Media";"Gold";"Home";"Low";"2024-12-28";10;4468.73
63;"User_63";"Female";1990;"2020-01-27";"user63@example.com";"13561381";"USA";"London";"50004";"Web";"Bronze";"Home";"Low";"2024-11-18";9;7704.84
64;"User_64";"Male";1989;"2022-10-10";"user64@example.com";"14562845";"Canada";"London";"90625";"Mobile App";"Bronze";"Books";"Low";"2024-10-25";16;14355.29
65;"User_65";"Male";1977;"2022-12-27";"user65@example.com";"14329909";"USA";"Toronto";"61293";"Mobile App";"Gold";"Clothing";"High";"2024-08-10";12;6582.38
66;"User_66";"Female";1998;"2022-02-28";"user66@example.com";"18499509";"UK";"Sydney";"63682";"Mobile App";"Platinum";"Home";"Low";"2024-07-20";9;6758.72
67;"User_67";"Male";1981;"2021-02-11";"user67@example.com";"18336704";"Canada";"Los Angeles";"20237";"Mobile App";"Gold";"Electronics";"Medium";"2024-12-19";10;7671.11
68;"User_68";"Female";1983;"2023-02-06";"user68@example.com";"14533284";"USA";"Toronto";"21694";"Social Media";"Platinum";"Electronics";"Low";"2024-06-12";5;3045.91
69;"User_69";"Male";1990;"2020-03-14";"user69@example.com";"18162244";"USA";"Chicago";"96472";"Web";"Gold";"Books";"Medium";"2024-11-27";12;8257.43
70;"User_70";"Female";1991;"2021-07-31";"user70@example.com";"16094669";"USA";"London";"20468";"Referral";"Silver";"Home";"Low";"2024-09-20";11;7328.63
71;"User_71";"Female";1990;"2021-11-10";"user71@example.com";"14762794";"USA";"Chicago";"28461";"Web";"Bronze";"Sports";"Medium";"2024-12-05";13;12472.2
72;"User_72";"Male";1999;"2023-07-09";"user72@example.com";"15197181";"USA";"London";"85376";"Mobile App";"Platinum";"Electronics";"Medium";"2024-12-08";13;9636.34
73;"User_73";"Male";1989;"2023-10-23";"user73@example.com";"19532454";"USA";"London";"84062";"Referral";"Gold";"Home";"Low";"2024-12-11";6;2731.95
74;"User_74";"Female";1993;"2022-02-24";"user74@example.com";"15028973";"USA";"London";"88000";"Mobile App";"Bronze";"Sports";"Low";"2024-12-18";10;8458.52
75;"User_75";"Female";1992;"2022-04-28";"user75@example.com";"17477827";"Australia";"Sydney";"86599";"Web";"Bronze";"Clothing";"Low";"2024-11-12";12;10823.91
76;"User_76";"Female";1976;"2022-05-19";"user76@example.com";"14241792";"USA";"New York";"90280";"Web";"Bronze";"Home";"Medium";"2024-12-03";11;5600.82
77;"User_77";"Female";1978;"2020-08-24";"user77@example.com";"15437369";"UK";"Sydney";"23064";"Mobile App";"Platinum";"Clothing";"Low";"2024-09-07";11;9597.19
78;"User_78";"Male";1970;"2021-12-27";"user78@example.com";"17643690";"USA";"Chicago";"97276";"Web";"Silver";"Electronics";"Low";"2024-10-29";10;6829.16
79;"User_79";"Male";1995;"2023-10-21";"user79@example.com";"15927864";"Canada";"Sydney";"23589";"Mobile App";"Bronze";"Clothing";"Low";"2024-12-11";19;12610.86
80;"User_80";"Male";1991;"2023-08-02";"user80@example.com";"16802648";"USA";"Toronto";"63324";"Web";"Bronze";"Electronics";"Medium";"2024-11-12";8;4106.58
81;"User_81";"Female";1979;"2021-01-12";"user81@example.com";"14656171";"USA";"Los Angeles";"10932";"Social Media";"Platinum";"Books";"Low";"2024-10-22";5;2864.57
82;"User_82";"Female";1975;"2021-10-22";"user82@example.com";"16732693";"UK";"Toronto";"27019";"Web";"Silver";"Books";"Medium";"2024-11-27";9;7154.45
83;"User_83";"Male";1986;"2022-04-09";"user83@example.com";"16627710";"Australia";"Sydney";"65835";"Mobile App";"Bronze";"Electronics";"Medium";"2024-09-27";8;6102.06
84;"User_84";"Male";1993;"2022-06-24";"user84@example.com";"13134852";"USA";"Chicago";"32157";"Mobile App";"Bronze";"Sports";"Medium";"2024-12-18";8;4994.5
85;"User_85";"Male";1979;"2021-01-10";"user85@example.com";"16398048";"UK";"Los Angeles";"62381";"Mobile App";"Bronze";"Books";"Medium";"2024-12-08";10;6656.83
86;"User_86";"Male";1977;"2021-09-10";"user86@example.com";"13402161";"Canada";"Toronto";"27574";"Web";"Bronze";"Sports";"Low";"2024-10-19";7;2687.57
87;"User_87";"Female";1990;"2021-10-14";"user87@example.com";"13051978";"Australia";"Los Angeles";"58312";"Mobile App";"Silver";"Sports";"High";"2024-11-18";16;7219.71
88;"User_88";"Female";1975;"2023-01-04";"user88@example.com";"18179974";"USA";"Chicago";"81044";"Mobile App";"Silver";"Sports";"Low";"2024-11-30";14;11798.1
89;"User_89";"Female";1990;"2022-10-29";"user89@example.com";"17006129";"Australia";"London";"42779";"Web";"Bronze";"Home";"Low";"2024-10-28";9;5866.31
90;"User_90";"Male";1993;"2020-07-14";"user90@example.com";"14379945";"UK";"Chicago";"40888";"Social Media";"Silver";"Home";"Medium";"2024-12-02";11;10683.98
91;"User_91";"Male";2002;"2022-03-17";"user91@example.com";"14553455";"USA";"New York";"36025";"Social Media";"Bronze";"Sports";"Low";"2024-09-20";5;4133.4
92;"User_92";"Female";1987;"2022-06-11";"user92@example.com";"15249771";"USA";"Los Angeles";"18060";"Web";"Gold";"Electronics";"Medium";"2024-06-06";7;8598.77
93;"User_93";"Female";1997;"2023-08-06";"user93@example.com";"14834266";"USA";"Chicago";"43216";"Mobile App";"Bronze";"Books";"Low";"2024-02-14";7;8723.26
94;"User_94";"Female";2001;"2022-12-20";"user94@example.com";"18539587";"USA";"London";"83197";"Mobile App";"Bronze";"Clothing";"Low";"2024-11-22";9;8104.92
95;"User_95";"Female";1981;"2022-07-25";"user95@example.com";"19626253";"UK";"London";"74617";"Web";"Bronze";"Home";"Low";"2024-12-25";8;5334.87
96;"User_96";"Female";1996;"2023-11-13";"user96@example.com";"16086985";"Canada";"Chicago";"81421";"Web";"Bronze";"Home";"Low";"2024-11-23";11;10207.88
97;"User_97";"Female";1979;"2022-04-26";"user97@example.com";"18418176";"Canada";"Toronto";"10426";"Referral";"Bronze";"Clothing";"Low";"2024-12-29";10;7452.15
98;"User_98";"Male";2001;"2022-03-28";"user98@example.com";"14694239";"USA";"Chicago";"35491";"Mobile App";"Bronze";"Sports";"Low";"2024-07-25";6;5782.14
99;"User_99";"Male";1995;"2021-07-17";"user99@example.com";"16434568";"USA";"London";"29553";"Referral";"Silver";"Clothing";"Medium";"2024-11-12";12;9529.05
100;"User_100";"Male";1994;"2021-09-25";"user100@example.com";"14444484";"USA";"Chicago";"22918";"Mobile App";"Bronze";"Sports";"Medium";"2024-09-24";13;8262.47
101;"User_101";"Male";1980;"2021-11-09";"user101@example.com";"18877878";"Canada";"New York";"22513";"Web";"Bronze";"Home";"Low";"2024-08-15";3;2619.47
102;"User_102";"Female";1992;"2022-10-14";"user102@example.com";"19885552";"USA";"Toronto";"26830";"Web";"Gold";"Clothing";"Low";"2024-09-24";11;13010.46
103;"User_103";"Male";2003;"2020-01-08";"user103@example.com";"16017189";"USA";"Chicago";"69254";"Mobile App";"Bronze";"Electronics";"Medium";"2024-10-31";4;2526.0
104;"User_104";"Female";1992;"2023-10-24";"user104@example.com";"13166479";"USA";"London";"54695";"Mobile App";"Silver";"Books";"Low";"2024-11-14";13;11905.39
105;"User_105";"Female";1998;"2022-12-04";"user105@example.com";"15602146";"USA";"Chicago";"40171";"Web";"Bronze";"Books";"Medium";"2024-12-02";12;8066.94
106;"User_106";"Male";2000;"2020-12-09";"user106@example.com";"15301111";"USA";"Chicago";"12250";"Mobile App";"Bronze";"Books";"Medium";"2024-11-13";8;8140.03
107;"User_107";"Male";1976;"2022-03-06";"user107@example.com";"18928413";"USA";"Los Angeles";"66263";"Social Media";"Bronze";"Clothing";"Low";"2024-10-22";14;13200.69
108;"User_108";"Female";2002;"2023-10-30";"user108@example.com";"16909179";"Australia";"Chicago";"72114";"Social Media";"Bronze";"Sports";"Low";"2024-10-30";11;9254.8
109;"User_109";"Male";1990;"2022-11-16";"user109@example.com";"16912238";"USA";"New York";"89144";"Web";"Gold";"Home";"Medium";"2024-09-23";10;6736.54
110;"User_110";"Male";1971;"2023-05-01";"user110@example.com";"16664598";"UK";"London";"12681";"Web";"Bronze";"Books";"Low";"2024-11-25";10;4225.26
111;"User_111";"Male";1987;"2022-04-28";"user111@example.com";"18028909";"USA";"Sydney";"73503";"Referral";"Silver";"Clothing";"Low";"2024-12-26";11;4746.88
112;"User_112";"Male";2002;"2023-10-12";"user112@example.com";"17785467";"UK";"Los Angeles";"93321";"Social Media";"Silver";"Books";"Medium";"2024-09-10";8;8235.86
113;"User_113";"Female";2003;"2020-03-02";"user113@example.com";"15647407";"USA";"Sydney";"13407";"Web";"Bronze";"Sports";"Low";"2024-12-03";11;9012.66
114;"User_114";"Female";1989;"2022-12-21";"user114@example.com";"14093354";"UK";"Chicago";"49529";"Social Media";"Silver";"Electronics";"Low";"2024-09-28";10;7606.1
115;"User_115";"Female";2004;"2021-02-25";"user115@example.com";"14991225";"UK";"Toronto";"58901";"Web";"Bronze";"Electronics";"Low";"2024-12-30";12;9414.02
116;"User_116";"Female";1987;"2021-09-24";"user116@example.com";"14844011";"USA";"New York";"27427";"Web";"Silver";"Home";"Medium";"2024-10-26";6;5174.3
117;"User_117";"Female";1993;"2022-03-02";"user117@example.com";"13301613";"UK";"New York";"31747";"Web";"Gold";"Electronics";"Medium";"2024-11-06";9;5057.91
118;"User_118";"Male";1977;"2021-07-04";"user118@example.com";"13986458";"USA";"New York";"23555";"Web";"Bronze";"Electronics";"Low";"2024-10-19";8;4876.67
119;"User_119";"Female";1999;"2023-11-04";"user119@example.com";"15653699";"Canada";"Los Angeles";"75927";"Social Media";"Bronze";"Clothing";"Medium";"2024-12-03";13;14614.71
120;"User_120";"Female";1979;"2023-07-24";"user120@example.com";"16492019";"USA";"Chicago";"80355";"Mobile App";"Bronze";"Clothing";"Low";"2024-10-27";12;10756.22
121;"User_121";"Female";1992;"2021-08-28";"user121@example.com";"18434528";"UK";"New York";"33263";"Web";"Bronze";"Home";"Low";"2024-12-30";13;6845.95
122;"User_122";"Female";1980;"2023-12-25";"user122@example.com";"13876182";"UK";"Chicago";"81520";"Social Media";"Bronze";"Home";"High";"2024-12-07";15;15261.64
123;"User_123";"Male";1971;"2023-02-12";"user123@example.com";"16866578";"USA";"Toronto";"81899";"Social Media";"Platinum";"Clothing";"Medium";"2024-11-09";10;6023.81
124;"User_124";"Male";1995;"2023-02-18";"user124@example.com";"18857961";"USA";"Chicago";"15127";"Web";"Bronze";"Electronics";"Medium";"2024-12-17";14;13543.91
125;"User_125";"Male";2002;"2021-06-08";"user125@example.com";"19357013";"UK";"Sydney";"71453";"Mobile App";"Bronze";"Sports";"High";"2024-08-28";5;4960.64
126;"User_126";"Male";1982;"2022-06-17";"user126@example.com";"19325441";"Canada";"Chicago";"68389";"Mobile App";"Bronze";"Electronics";"Medium";"2024-12-29";16;13601.17
127;"User_127";"Female";1994;"2023-12-10";"user127@example.com";"19592101";"Australia";"Chicago";"22512";"Mobile App";"Bronze";"Electronics";"Low";"2024-10-04";7;5831.87
128;"User_128";"Female";1973;"2020-06-11";"user128@example.com";"16645231";"USA";"London";"73722";"Mobile App";"Bronze";"Sports";"Low";"2024-10-08";14;12585.96
129;"User_129";"Male";1988;"2022-02-25";"user129@example.com";"16039983";"USA";"Sydney";"14037";"Web";"Bronze";"Home";"Low";"2024-10-08";8;4448.7
130;"User_130";"Female";1987;"2022-06-28";"user130@example.com";"13781981";"USA";"Los Angeles";"16854";"Web";"Bronze";"Clothing";"Low";"2024-08-27";12;9314.42
131;"User_131";"Male";1999;"2022-09-08";"user131@example.com";"17176170";"USA";"Chicago";"35733";"Social Media";"Bronze";"Home";"Medium";"2024-10-22";9;7799.58
132;"User_132";"Male";1988;"2023-09-22";"user132@example.com";"16839566";"USA";"New York";"95169";"Social Media";"Silver";"Home";"Medium";"2024-12-16";12;4681.14
133;"User_133";"Male";1992;"2021-01-13";"user133@example.com";"15054897";"USA";"London";"44311";"Web";"Gold";"Home";"Medium";"2024-11-08";12;9114.01
134;"User_134";"Male";1985;"2023-09-09";"user134@example.com";"17888548";"USA";"Chicago";"27175";"Web";"Bronze";"Clothing";"Low";"2024-10-18";13;11258.87
135;"User_135";"Female";1970;"2020-06-21";"user135@example.com";"16104446";"USA";"London";"97090";"Social Media";"Gold";"Home";"Low";"2024-05-24";9;8101.18
136;"User_136";"Male";1981;"2022-09-26";"user136@example.com";"19319783";"USA";"Los Angeles";"65195";"Web";"Bronze";"Home";"Medium";"2024-11-26";15;13008.78
137;"User_137";"Female";1993;"2020-03-04";"user137@example.com";"13413569";"Canada";"London";"38090";"Web";"Silver";"Books";"Medium";"2024-12-28";12;10325.06
138;"User_138";"Female";2003;"2023-01-29";"user138@example.com";"14522335";"USA";"New York";"73479";"Web";"Bronze";"Electronics";"Medium";"2024-12-17";8;4769.59
139;"User_139";"Male";1977;"2023-09-07";"user139@example.com";"15931112";"USA";"Chicago";"55636";"Mobile App";"Gold";"Books";"Low";"2024-11-30";10;6207.11
140;"User_140";"Female";1987;"2022-09-01";"user140@example.com";"14116294";"USA";"New York";"48866";"Web";"Gold";"Clothing";"Medium";"2024-12-15";10;5627.33
141;"User_141";"Female";1974;"2020-03-06";"user141@example.com";"16012987";"USA";"Toronto";"63934";"Mobile App";"Silver";"Sports";"Low";"2024-12-15";13;10588.46
142;"User_142";"Male";1995;"2021-04-02";"user142@example.com";"18155829";"UK";"London";"83334";"Web";"Gold";"Sports";"Medium";"2024-06-22";7;5868.21
143;"User_143";"Female";1999;"2021-03-28";"user143@example.com";"15206091";"USA";"London";"63111";"Referral";"Silver";"Books";"Low";"2024-10-18";8;4133.2
144;"User_144";"Male";1982;"2023-07-06";"user144@example.com";"15121252";"UK";"London";"96284";"Referral";"Bronze";"Books";"Medium";"2024-12-17";9;7838.82
145;"User_145";"Male";1988;"2023-12-20";"user145@example.com";"14231623";"USA";"Sydney";"11716";"Referral";"Silver";"Books";"Low";"2024-09-14";8;9429.05
146;"User_146";"Male";1998;"2022-09-05";"user146@example.com";"13844389";"UK";"Los Angeles";"46404";"Social Media";"Bronze";"Electronics";"Medium";"2024-12-18";17;13833.97
147;"User_147";"Female";1972;"2020-06-26";"user147@example.com";"16453945";"USA";"Sydney";"54324";"Mobile App";"Bronze";"Clothing";"Low";"2024-12-05";13;9244.87
148;"User_148";"Female";1995;"2020-10-06";"user148@example.com";"14369632";"USA";"New York";"83406";"Web";"Bronze";"Home";"Low";"2024-10-09";12;6770.06
149;"User_149";"Male";1981;"2020-12-09";"user149@example.com";"13443705";"UK";"Toronto";"66513";"Web";"Silver";"Books";"Low";"2024-06-17";13;9431.35
150;"User_150";"Male";1971;"2022-11-06";"user150@example.com";"19876112";"USA";"Los Angeles";"89218";"Web";"Bronze";"Electronics";"Low";"2024-11-18";9;5615.36
151;"User_151";"Female";1980;"2020-10-22";"user151@example.com";"18535904";"Canada";"Los Angeles";"32055";"Web";"Silver";"Sports";"Low";"2024-12-09";9;6520.23
152;"User_152";"Male";1997;"2020-07-20";"user152@example.com";"13883777";"USA";"Chicago";"55133";"Mobile App";"Silver";"Sports";"Medium";"2024-12-06";9;4755.29
153;"User_153";"Male";1987;"2022-08-19";"user153@example.com";"15272314";"Canada";"Toronto";"83916";"Referral";"Bronze";"Sports";"Low";"2024-10-16";12;6851.8
154;"User_154";"Female";1982;"2021-11-14";"user154@example.com";"17219290";"UK";"London";"81262";"Mobile App";"Bronze";"Books";"Low";"2024-10-07";9;5803.11
155;"User_155";"Female";1991;"2023-05-02";"user155@example.com";"16058015";"Australia";"Sydney";"17557";"Mobile App";"Platinum";"Sports";"Low";"2024-09-04";10;5681.34
156;"User_156";"Male";1981;"2023-03-18";"user156@example.com";"17556710";"USA";"London";"99702";"Mobile App";"Gold";"Sports";"Low";"2024-11-03";11;9298.23
157;"User_157";"Female";1971;"2021-01-09";"user157@example.com";"16002222";"USA";"Chicago";"45486";"Web";"Bronze";"Sports";"Medium";"2024-12-09";10;8082.66
158;"User_158";"Female";1976;"2020-02-04";"user158@example.com";"19585583";"Australia";"Sydney";"61557";"Referral";"Bronze";"Home";"Low";"2024-05-31";8;5062.74
159;"User_159";"Male";1995;"2023-10-24";"user159@example.com";"14056520";"UK";"London";"50655";"Mobile App";"Bronze";"Sports";"Low";"2024-06-16";9;5566.56
160;"User_160";"Female";1995;"2020-01-29";"user160@example.com";"17766431";"USA";"New York";"72398";"Web";"Bronze";"Electronics";"Low";"2024-10-11";7;4245.05
161;"User_161";"Male";1993;"2022-02-13";"user161@example.com";"14112705";"USA";"London";"99638";"Referral";"Bronze";"Books";"Low";"2024-11-14";9;5680.83
162;"User_162";"Female";1981;"2020-08-08";"user162@example.com";"18172220";"USA";"Sydney";"73823";"Mobile App";"Gold";"Home";"Low";"2024-12-14";4;4852.11
163;"User_163";"Female";1985;"2020-02-22";"user163@example.com";"13973506";"Australia";"New York";"84630";"Mobile App";"Platinum";"Home";"Medium";"2024-11-18";8;7259.55
164;"User_164";"Female";1992;"2022-03-01";"user164@example.com";"15296479";"USA";"Chicago";"94801";"Mobile App";"Gold";"Books";"Low";"2024-11-25";8;6192.29
