customer_id,customer_name,gender,birth_year,registration_date,email,phone,country,city,zip_code,registration_channel,loyalty_tier,preferred_category,avg_order_value_segment,last_login_date,total_orders,total_spent,last_order_date
15,用户15,Female,1984.0,2023-06-29,user15@example.com,17558629,CANADA,London,,Referral,Bronze,,high,2024-12-14,15.0,9211.9,2024-12-14
16,user 16,Female,1990.0,2022-12-12,user16@example.com,16371878,Australia,LON,00000,Referral,Gold,Home,low,2024-09-23,11.0,4465.79,2024-09-23
17,User_17,Female,1995.0,2020-07-06,user17@example.com,15165859,US,纽约,00000,Referral,VIP,Books,Medium,2025-12-31,12.0,10487.19,2025-12-31
18,用户18,M,2025.0,2023-03-26,user18@example.com,17928208,,London,,Mobile App,Platinum,Home,Medium,2024-12-13,12.0,10836.9,2024-12-13
19,用户19,Male,1970.0,2023-02-26,user19@example.com,18206463,Australia,Sydney,00000,Web,Silver,Clothing,Low,2024-08-02,12.0,11883.060000000001,2024-08-02
20,User_20,female,1977.0,2021-08-15,user20@example.com,17716258,AU,NY,,mobile,silver,Home,Medium,2024-11-07,11.0,7972.25,2024-11-07
21,User_21,M,2004.0,2020-08-18,user21@example.com,17186892,USA,LON,74505,Web,Platinum,Sports,High,2024-12-20,11.0,48360.52,2024-12-20
22,USER-22,M,1997.0,2022-02-18,user22@example.com,14349392,AU,Sydney,62256,mobile,bronze,,Low,2024-11-13,9.0,5692.16,2024-11-13
23,user 23,male,1992.0,2020-04-08,user23@example.com,18739996,CANADA,纽约,N/A,web,VIP,Home,,2024-07-04,11.0,6874.58,2024-07-04
24,USER-24,F,1991.0,2021-09-04,user24@example.com,18466056,United States,LON,,web,Bronze,Electronics,Low,2024-08-07,6.0,5352.18,2024-08-07
25,user 25,F,1983.0,2022-10-25,user25@example.com,19424840,UK,New York City,16910,Social Media,silver,Electronics,High,2024-06-22,4.0,2943.93,2024-06-22
26,user 26,未知,1983.0,2022-11-04,user26@example.com,16921206,美国,New York City,00000,Referral,Bronze,Clothing,high,2024-11-18,14.0,18733.6,2024-11-18
27,User_27,female,1982.0,2022-01-12,user27@example.com,19901863,UK,New York,,Mobile App,Platinum,Books,High,2024-11-10,14.0,11211.39,2024-11-10
28,USER-28,female,2001.0,2020-08-18,user28@example.com,17848574,US,Los Angeles,N/A,mobile,,,,2024-10-27,8.0,7214.88,2024-10-27
29,USER-29,male,1984.0,2022-11-25,user29@example.com,14705636,USA,NY,,Social Media,silver,Books,medium,2024-10-25,9.0,7153.59,2024-10-25
30,User_30,Male,2001.0,2021-07-31,user30@example.com,19984157,Australia,Sydney,00000,Social Media,,Electronics,high,2024-12-14,11.0,9054.099999999999,2024-12-14
31,用户31,M,1975.0,2023-09-25,user31@example.com,13274627,CANADA,London,N/A,web,Gold,Clothing,low,2024-09-15,14.0,6617.21,2024-09-15
32,User_32,M,1980.0,2023-06-08,user32@example.com,19396592,,Los Angeles,00000,Referral,silver,Books,low,2024-07-10,9.0,4480.84,2024-07-10
33,USER-33,male,1970.0,2021-09-24,user33@example.com,16762306,Australia,SYD,N/A,Web,Platinum,,High,2024-09-16,10.0,8106.89,2024-09-16
34,User_34,female,,2021-12-10,user34@example.com,15588526,GB,London,00000,mobile,,Books,low,2024-12-14,12.0,439781.16,2024-12-14
35,user 35,Female,,2023-06-02,user35@example.com,17105413,United States,Sydney,,Web,Platinum,Electronics,low,2024-12-21,9.0,6811.18,2024-12-21
36,用户36,F,1993.0,2023-06-10,user36@example.com,16732495,AU,Sydney,,,VIP,Clothing,high,2025-12-31,7.0,6435.41,2025-12-31
37,用户37,M,1981.0,2023-02-10,user37@example.com,18098554,美国,Los Angeles,,Web,bronze,Clothing,High,2024-12-15,13.0,6987.32,2024-12-15
38,user 38,未知,1986.0,2020-08-07,user38@example.com,19985737,US,London,,Social Media,VIP,Books,Low,2024-10-28,13.0,5902.57,2024-10-28
39,用户39,Male,2001.0,2023-11-27,user39@example.com,15247528,GB,New York,N/A,Social Media,,Books,medium,2024-07-23,9.0,5013.87,2024-07-23
40,用户40,female,1971.0,2021-12-30,user40@example.com,13522707,USA,London,N/A,mobile,,,Medium,2024-12-12,11.0,5015.63,2024-12-12
41,User_41,未知,2001.0,2020-07-21,user41@example.com,15465931,US,London,00000,,VIP,Clothing,Low,2024-10-26,8.0,6294.9,2024-10-26
42,用户42,未知,1993.0,2022-09-08,user42@example.com,19091197,,NY,,Web,Bronze,Home,Medium,2024-12-12,10.0,6193.4,2024-12-12
43,User_43,female,1985.0,2023-09-11,user43@example.com,19085282,AU,New York City,00000,Mobile App,VIP,,Low,2024-07-24,10.0,8495.380000000001,2024-07-24
44,User_44,male,1998.0,2022-08-12,user44@example.com,19593811,United States,Los Angeles,82082,web,Bronze,Home,medium,2024-12-24,7.0,4967.18,2024-12-24
45,user 45,Female,1995.0,2023-03-17,user45@example.com,18109338,US,Los Angeles,12911,,Bronze,Home,medium,2024-12-14,9.0,6702.030000000001,2024-12-14
46,User_46,未知,1976.0,2021-07-04,user46@example.com,17883976,UK,LA,,mobile,Gold,Books,Medium,2024-10-01,7.0,6194.65,2024-10-01
47,USER-47,,1970.0,2023-08-14,user47@example.com,17726534,CANADA,纽约,40306,Social Media,VIP,Clothing,,2024-11-28,15.0,9875.1,2024-11-28
48,user 48,F,1976.0,2022-10-13,user48@example.com,14439815,CANADA,Los Angeles,N/A,Social Media,bronze,Sports,Low,2024-10-03,10.0,9745.0,2024-10-03
49,用户49,female,1971.0,2022-11-26,user49@example.com,16035548,GB,New York,39855,Social Media,Platinum,Books,high,2024-11-13,8.0,6722.75,2024-11-13
50,USER-50,F,1978.0,2022-03-26,user50@example.com,15324170,CANADA,LON,N/A,Social Media,bronze,Clothing,Low,2024-11-06,7.0,5532.76,2024-11-06
51,用户51,male,1972.0,2020-02-23,user51@example.com,17037295,,SYD,N/A,Web,Platinum,Home,Medium,2024-12-23,15.0,12541.52,2024-12-23
52,USER-52,Male,1993.0,2023-12-14,user52@example.com,19272648,United States,LON,63351,,Bronze,Sports,High,2024-08-24,7.0,3640.91,2024-08-24
53,  User_53  ,,1989.0,2020-04-08,user53@example.com,15533557,UK,LON,12200,web,Bronze,Clothing,Medium,2024-09-29,11.0,8065.09,2024-09-29
54,user 54,未知,1998.0,2023-04-01,user54@example.com,16373869,Australia,London,,Referral,bronze,Sports,low,2024-02-21,7.0,6901.01,2024-02-21
55,USER-55,female,2002.0,2021-02-01,user55@example.com,18797944,US,New York City,00000,Mobile App,Silver,Clothing,Low,2024-11-22,11.0,322407.19,2024-11-22
56,用户56,M,1989.0,2023-11-16,user56@example.com,18037015,US,纽约,N/A,,Platinum,Books,Low,2024-07-30,7.0,8877.33,2024-07-30
57,USER-57,Female,1972.0,2022-11-22,user57@example.com,17005735,AU,SYD,N/A,Referral,Silver,Books,high,2024-05-23,11.0,6780.95,2024-05-23
58,User_58,,1991.0,2022-01-19,user58@example.com,16742045,UK,LA,N/A,Web,Silver,Clothing,high,2024-12-09,5.0,2603.0,2024-12-09
59,user 59,M,1977.0,2023-07-24,user59@example.com,15821225,GB,Sydney,,Social Media,Gold,Sports,low,2024-12-14,10.0,7101.62,2024-12-14
60,User_60,F,2002.0,2022-08-17,user60@example.com,15838022,United States,LA,,mobile,VIP,Home,high,2024-10-28,6.0,3146.84,2024-10-28
61,User_61,F,1974.0,2021-06-30,user61@example.com,19588683,UK,Sydney,83744,mobile,VIP,Books,Low,2024-11-22,11.0,11270.81,2024-11-22
62,user 62,Male,1997.0,2023-10-28,user62@example.com,14572069,,LON,,Web,Bronze,,medium,2025-12-31,10.0,10423.74,2025-12-31
63,User_63,Female,2025.0,2020-10-06,user63@example.com,13982060,GB,NY,00000,Referral,bronze,Sports,high,2024-10-06,6.0,6000.88,2024-10-06
64,user 64,male,2000.0,2022-09-19,user64@example.com,13981699,US,Los Angeles,,Social Media,bronze,Electronics,High,2024-11-17,15.0,9687.41,2024-11-17
65,用户65,male,1990.0,2023-09-08,user65@example.com,14604327,CANADA,LA,,Referral,silver,Clothing,high,2024-11-15,10.0,8013.8099999999995,2024-11-15
66,  用户66  ,F,1994.0,2023-09-08,user66@example.com,18651569,UK,New York City,,Web,Gold,Sports,medium,2024-11-02,8.0,3626.02,2024-11-02
67,user 67,,1993.0,2022-05-03,user67@example.com,19258455,UK,New York City,28070,Referral,bronze,Home,medium,2024-06-17,10.0,12397.04,2024-06-17
68,用户68,未知,1971.0,2021-05-04,user68@example.com,19381154,Australia,New York,55017,Mobile App,bronze,Clothing,high,2024-12-30,10.0,5430.92,2024-12-30
69,USER-69,Female,1986.0,2023-11-17,user69@example.com,14039096,USA,New York,N/A,,Bronze,Home,High,2024-12-20,16.0,88894.34999999999,2024-12-20
70,User_70,male,1998.0,2021-06-21,user70@example.com,19813806,AU,London,00000,Referral,Gold,Clothing,low,2024-10-26,9.0,8840.69,2024-10-26
71,user 71,,1994.0,2022-04-07,user71@example.com,17079716,US,LON,N/A,web,bronze,,low,2024-09-19,6.0,3017.42,2024-09-19
72,用户72,,1976.0,2020-01-20,user72@example.com,13355780,AU,LA,N/A,mobile,bronze,Electronics,,2024-09-04,14.0,12681.9,2024-09-04
73,用户73,Male,1977.0,2021-02-03,user73@example.com,18119173,,纽约,N/A,Mobile App,Platinum,Sports,High,2024-12-11,10.0,4849.09,2024-12-11
74,User_74,Female,1981.0,2021-12-27,user74@example.com,17706919,,LON,62921,web,silver,,Medium,2024-12-18,6.0,2869.0299999999997,2024-12-18
75,USER-75,male,1991.0,2020-10-31,user75@example.com,16138509,Australia,Sydney,N/A,,Gold,Home,,2024-11-11,13.0,9005.96,2024-11-11
76,User_76,Female,1975.0,2021-09-04,user76@example.com,13533491,United States,纽约,,,silver,Electronics,,2024-11-27,10.0,10533.69,2024-11-27
77,USER-77,M,1974.0,2022-02-12,user77@example.com,14026315,US,纽约,,Web,silver,Sports,Medium,2024-07-31,3.0,2931.84,2024-07-31
78,User_78,未知,2001.0,2022-05-16,user78@example.com,16495142,USA,Los Angeles,,Web,Silver,Clothing,medium,2024-10-12,11.0,12068.14,2024-10-12
79,user 79,未知,1985.0,2021-09-27,user79@example.com,15685465,UK,NY,,web,,Home,Low,2024-08-29,9.0,7306.8099999999995,2024-08-29
80,USER-80,F,1988.0,2022-04-10,user80@example.com,19569311,Australia,LA,89634,Referral,bronze,Clothing,Low,2024-08-23,8.0,8871.24,2024-08-23
81,USER-81,Male,1997.0,2020-01-01,user81@example.com,13579932,美国,New York City,00000,Web,Platinum,Sports,Medium,2024-11-09,12.0,7912.26,2024-11-09
82,user 82,Male,1992.0,2022-10-09,user82@example.com,14268560,United States,Sydney,N/A,,Gold,Electronics,high,2024-11-27,13.0,281205.11,2024-11-27
83,USER-83,F,1970.0,2023-02-15,user83@example.com,13958805,USA,New York City,,web,Silver,,Low,2024-11-21,17.0,10531.77,2024-11-21
84,User_84,female,1970.0,2021-12-04,user84@example.com,15715070,Australia,Los Angeles,,mobile,Bronze,Electronics,low,2024-07-30,6.0,2631.3599999999997,2024-07-30
85,User_85,,1974.0,2023-01-04,user85@example.com,15469130,CANADA,SYD,00000,Web,Gold,Home,medium,2024-09-21,8.0,9365.87,2024-09-21
86,用户86,M,1991.0,2022-12-06,user86@example.com,19966188,US,NY,00000,Referral,VIP,Clothing,low,2024-09-02,9.0,5018.2,2024-09-02
87,USER-87,未知,1999.0,2021-03-07,user87@example.com,17527617,CANADA,New York City,,Web,Silver,Electronics,Low,2024-12-17,9.0,9706.61,2024-12-17
88,USER-88,Male,1999.0,2021-06-05,user88@example.com,16566881,US,London,N/A,,,,Low,2024-10-16,7.0,6229.47,2024-10-16
89,用户89,female,1974.0,2023-04-18,user89@example.com,13993849,美国,NY,N/A,,silver,Electronics,,2024-06-11,9.0,7696.23,2024-06-11
90,USER-90,Male,1979.0,2022-02-07,user90@example.com,19583489,USA,New York City,N/A,mobile,bronze,Home,High,2024-11-14,13.0,13015.45,2024-11-14
91,User_91,male,1974.0,2020-12-01,,18153839,Australia,纽约,,Referral,VIP,Home,Medium,2024-12-29,11.0,310913.51,2024-12-29
92,user 92,Female,1997.0,2021-11-20,user92@example.com,14591851,United States,SYD,21938,mobile,Silver,Home,low,2024-10-10,14.0,10857.08,2024-10-10
93,User_93,Female,2002.0,2023-07-15,user93@example.com,19906732,,SYD,,web,bronze,Electronics,Medium,2024-12-21,13.0,12695.023311462357,2024-12-21
94,user 94,M,,2022-12-02,user94@example.com,14674913,,Los Angeles,N/A,Web,Bronze,Books,high,2024-11-22,9.0,4768.53,2024-11-22
95,User_95,F,1998.0,2023-08-18,user95@example.com,16965107,UK,New York,,Web,silver,Sports,low,2024-08-06,11.0,8838.4,2024-08-06
96,user 96,Male,2004.0,2021-08-27,user96@example.com,13899967,AU,LON,N/A,Web,,Electronics,Medium,2024-06-24,11.0,9063.82,2024-06-24
97,user 97,F,1995.0,2021-09-08,user97@example.com,17179306,US,Sydney,30358,web,Platinum,Home,High,2024-07-31,7.0,3750.86,2024-07-31
98,user 98,male,1973.0,2023-01-03,user98@example.com,18006745,AU,New York City,10412,Mobile App,VIP,Books,,2024-12-15,11.0,8163.65,2024-12-15
99,USER-99,F,1994.0,2022-01-30,user99@example.com,15768164,United States,LON,54425,Referral,VIP,,High,2024-10-17,9.0,5143.0199999999995,2024-10-17
100,User_100,,1978.0,2023-01-27,user100@example.com,14913786,CANADA,Los Angeles,95999,mobile,Silver,Sports,medium,2024-08-07,4.0,2019.8300000000002,2024-08-07
101,user 101,Male,1987.0,2023-04-28,user101@example.com,13957806,CANADA,SYD,,web,Gold,Electronics,low,2024-12-17,8.0,5987.46,2024-12-17
102,用户102,male,1981.0,2020-10-05,user102@example.com,16684766,GB,Sydney,00000,Social Media,silver,Home,low,2024-12-11,10.0,7284.96,2024-12-11
103,User_103,F,1999.0,2021-12-29,user103@example.com,15729787,Australia,London,N/A,Social Media,Gold,Home,Low,2024-07-19,8.0,7057.44,2024-07-19
104,User_104,未知,1982.0,2020-06-25,user104@example.com,19988186,,Sydney,,mobile,silver,Clothing,high,2024-12-02,9.0,7674.049999999999,2024-12-02
105,用户105,Female,1981.0,2020-03-16,user105@example.com,17448400,Australia,LA,79896,Social Media,bronze,Clothing,Medium,2024-07-03,6.0,9167.08,2024-07-03
106,User_106,male,1976.0,2023-10-22,user106@example.com,16835946,Australia,Sydney,18335,mobile,silver,Sports,Medium,2024-12-17,11.0,7643.53,2024-12-17
107,User_107,male,1974.0,2022-11-14,user107@example.com,13985491,UK,LA,00000,Referral,bronze,,,2024-08-25,13.0,7904.67,2024-08-25
108,user 108,,1990.0,2023-03-20,user108@example.com,17834636,CANADA,SYD,,Referral,bronze,Books,medium,2024-10-27,11.0,5470.889999999999,2024-10-27
109,User_109,male,1983.0,2023-03-02,user109@example.com,15225729,GB,LA,33714,mobile,Silver,Home,Low,2024-11-05,10.0,837342.64,2024-11-05
110,user 110,未知,1992.0,2021-10-19,user110@example.com,15349010,GB,LA,82267,Referral,Bronze,Books,medium,2024-12-25,18.0,14348.08,2024-12-25
111,USER-111,F,1978.0,2021-05-06,user111@example.com,13731953,United States,New York City,82592,Social Media,VIP,,,2024-12-19,11.0,10760.1,2024-12-19
112,user 112,Male,1800.0,2023-04-12,user112@example.com,15522542,Australia,SYD,,Web,bronze,Clothing,High,2024-08-26,7.0,7803.03,2024-08-26
113,用户113,Female,1978.0,2020-01-29,user113@example.com,19332540,AU,Sydney,64693,mobile,Platinum,,Medium,2024-12-03,9.0,6228.03,2024-12-03
114,User_114,male,1988.0,2023-10-20,user114@example.com,,Australia,LA,36432,web,Bronze,Books,,2024-12-11,9.0,3389.34,2024-12-11
115,User_115,Male,1991.0,2023-09-12,user115@example.com,17999702,CANADA,纽约,47080,,silver,Clothing,Low,2024-10-30,10.0,5501.18,2024-10-30
116,用户116,,1973.0,2023-12-09,user116@example.com,13698419,United States,New York City,44578,mobile,VIP,Electronics,High,2024-03-09,7.0,2612.0,2024-03-09
117,用户117,M,1996.0,2021-10-14,user117@example.com,18305268,,New York,00000,Social Media,silver,Electronics,,2024-11-04,4.0,2185.7200000000003,2024-11-04
118,用户118,未知,1997.0,2021-03-31,user118@example.com,19377619,CANADA,New York City,,mobile,VIP,Home,,2024-12-07,5.0,4650.44,2024-12-07
119,USER-119,male,1970.0,2023-04-29,user119@example.com,16861504,US,NY,N/A,mobile,bronze,Home,low,2024-08-03,9.0,4759.4,2024-08-03
120,USER-120,Male,1994.0,2020-02-27,user120@example.com,14161133,AU,London,N/A,mobile,Bronze,Electronics,high,2024-11-19,15.0,8706.28,2024-11-19
121,用户121,Male,2001.0,2022-03-25,user121@example.com,14722852,USA,New York City,30559,Mobile App,silver,Home,low,2024-10-04,7.0,2818.0299999999997,2024-10-04
122,User_122,F,1990.0,2020-07-21,user122@example.com,,AU,New York City,N/A,Referral,silver,,High,2024-12-03,18.0,15707.57,2024-12-03
123,User_123,未知,2004.0,2023-06-10,user123@example.com,19587190,,Los Angeles,,Mobile App,bronze,,low,2024-11-27,10.0,7695.52,2024-11-27
124,USER-124,,1983.0,2023-10-28,user124@example.com,14424486,CANADA,NY,N/A,Social Media,Gold,,high,2024-12-04,15.0,12133.71,2024-12-04
125,user 125,Female,1985.0,2022-08-28,user125@example.com,17709120,美国,LON,88859,Social Media,silver,Books,,2024-12-08,13.0,10579.02,2024-12-08
126,用户126,未知,1979.0,2021-10-29,user126@example.com,16578575,Australia,London,,,Silver,Clothing,High,2024-12-11,14.0,9518.51,2024-12-11
127,user 127,male,1997.0,2021-11-28,user127@example.com,19754719,UK,Sydney,41921,,Silver,Sports,Medium,2024-08-25,14.0,8054.64,2024-08-25
128,USER-128,M,1997.0,2021-05-16,user128@example.com,13405835,美国,Sydney,N/A,Mobile App,bronze,Sports,medium,2024-11-19,9.0,6001.450000000001,2024-11-19
129,USER-129,male,2002.0,2022-01-21,user129@example.com,17603779,AU,New York,92844,Web,Bronze,,,2024-11-24,7.0,2465.99,2024-11-24
130,USER-130,Male,1982.0,2023-06-30,user130@example.com,18578714,,LON,00000,,,Home,low,2024-09-22,11.0,8830.75,2024-09-22
131,user 131,female,1987.0,2022-06-01,user131@example.com,,CANADA,LA,N/A,Referral,Gold,Home,medium,2024-12-23,9.0,7649.25,2024-12-23
132,User_132,female,1974.0,2022-04-03,user132@example.com,17491009,,London,,Mobile App,Gold,Home,medium,2023-08-17,6.0,4627.47,2023-08-17
133,USER-133,,1974.0,2021-01-08,user133@example.com,14182015,GB,New York,37712,Referral,VIP,Clothing,Medium,2024-10-05,9.0,6742.62,2024-10-05
134,User_134,,1987.0,2020-08-11,user134@example.com,,US,London,00000,Social Media,silver,Books,High,2024-12-10,10.0,13838.41,2024-12-10
135,USER-135,M,1995.0,2020-03-03,,,AU,SYD,72680,Mobile App,Silver,Books,High,2024-09-01,15.0,9018.99,2024-09-01
136,用户136,female,1991.0,2020-04-14,user136@example.com,19885000,Australia,New York,18702,Web,Gold,,High,2024-12-20,9.0,6720.9,2024-12-20
137,USER-137,male,1970.0,2022-04-02,user137@example.com,17049175,United States,London,N/A,web,silver,Sports,,2024-09-20,7.0,5519.74,2024-09-20
138,User_138,Male,1997.0,2022-02-09,user138@example.com,19446989,UK,SYD,N/A,,Bronze,Sports,low,2024-12-27,11.0,10314.73,2024-12-27
139,用户139,female,1992.0,2020-03-23,user139@example.com,18645809,United States,Sydney,,Mobile App,Platinum,Electronics,medium,2024-10-15,13.0,10306.300000000001,2024-10-15
140,用户140,F,,2021-04-01,user140@example.com,13848245,美国,London,,,Bronze,,Medium,2025-12-31,9.0,475857.38,2025-12-31
141,user 141,未知,1970.0,2021-12-17,user141@example.com,13505780,GB,Sydney,N/A,web,silver,,,2024-12-09,12.0,8801.02,2024-12-09
142,user 142,,1970.0,2020-04-04,user142@example.com,17874419,,Sydney,N/A,Mobile App,bronze,Home,high,2024-09-12,10.0,6738.19,2024-09-12
143,用户143,M,1995.0,2021-03-13,user143@example.com,15499865,UK,LA,00000,Social Media,Bronze,Home,high,2024-06-01,12.0,4032.9700000000003,2024-06-01
144,USER-144,female,1972.0,2022-12-13,user144@example.com,16055363,Australia,Los Angeles,00000,Web,Platinum,Clothing,Low,2024-10-14,11.0,6937.73,2024-10-14
145,用户145,未知,1974.0,2022-02-05,user145@example.com,17005719,US,New York City,29758,web,Gold,Books,high,2024-10-22,11.0,9106.880000000001,2024-10-22
146,User_146,M,1992.0,2022-05-02,user146@example.com,15062252,US,SYD,00000,web,Bronze,Clothing,low,2024-10-21,6.0,2278.53,2024-10-21
147,user 147,未知,1971.0,2020-04-12,user147@example.com,13745530,,New York,91317,Social Media,Silver,Home,High,2024-10-20,14.0,8257.67,2024-10-20
148,用户148,male,2003.0,2022-03-08,user148@example.com,16057241,,纽约,35934,Social Media,Gold,,low,2024-09-18,10.0,4357.75,2024-09-18
149,user 149,F,,2020-09-05,user149@example.com,17342331,United States,SYD,,,,Sports,High,2024-10-16,17.0,11628.63,2024-10-16
150,User_150,F,2002.0,2021-06-25,user150@example.com,16346115,,London,00000,Referral,bronze,Home,High,2024-05-16,6.0,3340.8,2024-05-16
151,User_151,female,1986.0,2022-06-18,user151@example.com,14325892,GB,Los Angeles,00000,Referral,bronze,,Low,2024-10-24,13.0,6539.5,2024-10-24
152,用户152,male,1986.0,2022-09-10,user152@example.com,16293832,AU,LA,,mobile,VIP,Sports,,2024-07-26,8.0,7723.19,2024-07-26
153,USER-153,Female,1971.0,2020-02-12,user153@example.com,15047269,US,SYD,22015,Web,Platinum,Sports,medium,2024-11-24,9.0,6873.780000000001,2024-11-24
154,用户154,female,1980.0,2023-04-21,user154@example.com,14101760,US,Sydney,,,Bronze,Books,Medium,2024-12-14,12.0,7434.84,2024-12-14
155,用户155,M,2000.0,2022-06-18,user155@example.com,16737031,,New York,00000,web,Silver,Electronics,low,2024-12-01,8.0,48275.54,2024-12-01
156,用户156,Female,1972.0,2023-05-03,user156@example.com,,USA,Los Angeles,,Mobile App,Gold,,high,2024-12-11,8.0,10153.99,2024-12-11
157,user 157,未知,1998.0,2022-12-10,user157@example.com,19717777,CANADA,NY,00000,web,,Sports,Medium,2024-12-13,7.0,7923.7,2024-12-13
158,用户158,Male,,2021-08-26,user158@example.com,13046585,Australia,London,,,Platinum,Clothing,low,2024-10-14,12.0,7093.75,2024-10-14
159,用户159,Female,1991.0,2021-10-06,user159@example.com,17047981,AU,New York,00000,Mobile App,Silver,Electronics,medium,2024-11-06,9.0,3998.7799999999997,2024-11-06
160,  user 160  ,Male,1995.0,2023-01-06,,13453593,USA,New York City,N/A,Mobile App,silver,Sports,medium,2024-10-20,9.0,168178.51,2024-10-20
161,USER-161,female,1978.0,2023-02-18,user161@example.com,15487190,USA,Sydney,00000,mobile,,Sports,low,2024-12-13,14.0,8443.96,2024-12-13
162,USER-162,F,1999.0,2020-02-17,,14063878,UK,New York City,,Mobile App,Platinum,Home,,2024-09-24,14.0,14108.24,2024-09-24
163,user 163,未知,1986.0,2021-12-19,user163@example.com,13252276,UK,纽约,N/A,Mobile App,silver,,Low,2024-10-04,4.0,2871.26,2024-10-04
164,用户164,female,1991.0,2020-03-18,user164@example.com,18259150,AU,SYD,54247,,Silver,Clothing,,2023-12-10,4.0,3362.33,2023-12-10
165,User_165,F,1971.0,2021-06-09,user165@example.com,16647809,美国,纽约,25034,mobile,VIP,Clothing,high,2024-12-27,11.0,7482.570000000001,2024-12-27
166,USER-166,M,1976.0,2022-07-07,user166@example.com,13022646,,Los Angeles,N/A,web,VIP,Books,Low,2024-11-20,13.0,9676.86,2024-11-20
167,用户167,female,1987.0,2022-01-08,user167@example.com,18057949,USA,SYD,00000,mobile,Gold,Electronics,High,2024-10-05,16.0,7722.93,2024-10-05
168,用户168,female,1984.0,2021-04-29,user168@example.com,14919152,AU,纽约,,web,silver,Home,,2024-11-11,14.0,9510.779999999999,2024-11-11
169,USER-169,male,1979.0,2023-07-20,user169@example.com,13382976,United States,New York City,,Mobile App,Bronze,Sports,Low,2024-10-19,15.0,12110.86,2024-10-19
170,user 170,Male,1995.0,2020-05-24,user170@example.com,14255632,US,New York City,13596,Mobile App,VIP,Home,Low,2024-10-24,9.0,8075.93,2024-10-24
171,用户171,,1989.0,2020-03-07,user171@example.com,13248561,USA,New York,N/A,web,bronze,Electronics,medium,2024-12-10,8.0,4998.76,2024-12-10
172,user 172,Female,1987.0,2020-04-20,user172@example.com,14107371,美国,纽约,N/A,,silver,Home,,2024-08-14,10.0,7139.4400000000005,2024-08-14
173,User_173,female,2003.0,2023-10-24,user173@example.com,19228943,USA,NY,,Referral,,Sports,low,2024-12-19,10.0,6040.1,2024-12-19
174,USER-174,未知,1988.0,2021-02-28,user174@example.com,,AU,NY,70004,Mobile App,Platinum,,medium,2024-12-19,15.0,13069.52,2024-12-19
175,USER-175,Male,1975.0,2021-11-22,user175@example.com,,USA,纽约,00000,,,Electronics,High,2024-12-19,10.0,6871.7,2024-12-19
176,user 176,F,2003.0,2023-11-01,user176@example.com,17421876,US,Sydney,N/A,Web,Silver,Books,Medium,2024-07-15,9.0,5378.280000000001,2024-07-15
177,USER-177,未知,1991.0,2021-09-15,user177@example.com,15762733,USA,Los Angeles,,Referral,Platinum,Home,medium,2024-12-09,11.0,7697.72,2024-12-09
178,USER-178,Female,1999.0,2022-04-02,user178@example.com,17454735,美国,NY,23046,Social Media,Gold,Books,high,2024-10-11,6.0,3745.77,2024-10-11
